Id,AnConstructie,NumarEtaje,Monument,StructuraTip,RiscZidarie,RiscStructura,NrApartamente,NrPersoaneZiua,NrPersoaneNoaptea,NrAngajati,NrVizitatori,VULNERAB,avariere
203,1920,0,0,2,0,0,0,0,1,0,0,B,3
204,1890,1,0,3,10,1,12,35,35,0,0,B,3
205,1890,1,0,3,110,110,0,0,0,3,100,B,3
206,1890,2,0,1,110,10,0,0,1,0,0,B,3
207,1920,5,0,1,100,0,6,20,20,2,30,B,3
208,1920,6,0,1,100,0,24,64,64,0,0,B,3
209,1900,6,1,1,110,0,0,0,0,0,0,E,1
210,2005,4,0,1,0,0,0,0,10,0,0,F,0
211,1890,1,0,3,110,10,4,10,10,0,0,B,3
212,1890,3,0,1,110,10,0,0,1,0,0,B,3
213,1890,1,0,3,110,10,6,15,15,1,15,B,3
214,1890,1,0,2,110,110,4,10,10,1,30,A,4
215,1890,2,0,3,110,0,12,40,40,2,300,B,3
216,1890,1,0,3,100,10,0,0,0,25,0,B,3
218,1890,3,0,3,0,0,16,30,30,1,30,B,3
219,1890,1,0,3,0,0,4,16,16,0,0,B,3
220,1890,0,0,1,0,0,0,0,0,0,0,G,0
221,1890,0,0,5,110,0,0,0,1,1,20,C,2
222,1890,1,0,3,0,0,4,15,15,0,0,B,3
223,1890,1,0,3,0,0,3,10,10,0,0,B,3
224,1890,1,0,9,0,0,0,0,0,0,0,B,3
225,2008,2,0,9,0,0,0,0,0,0,0,D,1
226,1890,1,0,4,0,0,0,0,0,0,0,B,3
227,1890,1,0,2,110,11,4,15,15,2,100,A,4
228,1890,0,1,2,0,0,0,0,1,0,0,B,3
229,1900,3,0,4,110,0,0,0,1,0,0,B,3
230,1900,1,0,1,0,0,0,0,1,0,0,G,0
231,1890,1,0,3,110,10,0,0,1,2,100,B,3
233,1900,4,0,2,110,11,4,14,14,0,0,A,4
234,1900,1,0,6,0,0,4,12,1,4,60,D,1
235,1900,2,0,3,100,1,4,15,15,0,0,B,3
236,1890,1,0,3,110,1,6,14,14,2,60,B,3
237,1900,1,1,3,110,10,0,0,0,8,200,B,3
238,1900,2,0,5,0,1,4,10,10,0,0,C,2
239,1900,1,1,3,110,1,0,0,0,0,0,B,3
240,1900,2,0,5,100,11,4,15,15,0,0,B,3
241,1900,2,0,2,111,11,4,18,18,0,0,A,4
242,1900,2,0,3,0,1,0,0,1,0,0,B,3
243,1900,1,0,2,100,10,0,0,1,0,0,A,4
244,1500,0,1,3,0,0,0,0,0,0,0,B,3
245,1700,0,1,3,0,0,0,0,0,0,0,B,3
247,1900,3,0,3,100,0,4,16,16,0,0,B,3
248,1900,5,0,3,101,0,0,0,20,0,0,B,3
249,1900,5,0,3,101,1,0,0,20,0,0,B,3
251,1960,7,0,1,100,1,57,147,140,0,0,C,2
252,1920,0,1,2,0,0,0,0,0,0,0,E,1
253,1900,2,0,2,110,10,4,15,1,0,0,A,4
254,1900,0,0,2,110,0,0,0,0,0,0,B,3
255,1900,1,0,2,110,10,0,0,0,0,0,A,4
256,1900,1,0,2,110,0,1,3,3,0,0,A,4
257,1900,7,0,1,100,1,25,76,76,0,0,B,3
258,1900,2,0,1,110,0,0,0,0,0,0,C,2
259,1900,3,0,2,110,1,4,14,14,0,0,A,4
260,1900,2,0,2,110,11,0,0,0,0,0,A,4
261,1900,2,0,2,110,11,0,0,0,0,0,A,4
262,1559,0,1,3,100,10,0,0,0,0,0,B,3
263,1900,0,1,2,100,0,0,0,0,2,50,B,3
264,1900,2,0,3,110,1,12,45,45,0,0,B,3
265,1927,1,1,3,0,0,0,0,0,0,0,B,3
267,1890,3,0,1,0,0,6,20,20,15,200,B,3
268,1850,0,1,5,0,0,0,0,0,0,0,B,3
269,1978,6,0,1,0,0,18,44,5,0,0,C,1
271,1883,2,1,3,110,10,12,30,10,3,0,B,3
272,1899,3,1,1,100,1,0,0,1,0,0,B,3
273,1899,2,1,1,0,10,0,0,1,0,0,B,3
274,1899,2,0,5,0,0,0,0,1,0,0,B,3
275,1852,2,1,3,110,101,8,25,25,3,50,B,3
276,1874,2,1,3,110,11,0,0,1,0,0,B,3
277,1910,2,0,3,0,0,0,0,0,0,0,B,3
278,1910,3,0,5,0,0,0,0,0,0,0,B,3
279,1910,1,0,3,0,0,0,0,0,0,0,B,3
280,1910,2,0,3,0,0,0,0,0,0,0,B,3
282,1920,1,0,3,110,0,0,0,10,0,0,B,3
283,1900,6,1,1,110,110,0,0,0,0,0,B,3
284,1890,1,1,3,100,0,0,0,0,0,0,B,3
285,1915,4,1,5,100,1,0,0,2,0,0,B,3
286,1900,2,1,1,0,0,0,0,1,0,0,A,4
287,1910,5,0,1,0,0,0,0,100,0,0,B,3
288,1883,2,1,6,0,0,0,0,1,0,0,D,1
289,1890,2,0,3,110,0,0,0,1,4,0,B,3
290,1899,3,0,9,101,1,0,0,0,0,0,B,3
291,1898,1,0,3,0,0,0,0,0,0,0,B,3
293,1890,2,1,1,110,0,0,0,0,1,0,C,2
294,1890,1,0,1,0,0,12,35,35,0,0,C,2
295,1900,3,1,3,0,0,0,0,10,0,0,B,3
296,2008,0,1,1,0,0,0,0,0,0,0,G,0
297,1920,1,0,3,110,0,0,0,0,0,0,B,3
298,1890,1,0,3,100,0,0,0,0,0,0,B,3
299,1910,1,0,5,100,10,0,0,0,2,0,B,3
300,1900,4,1,1,0,0,0,0,0,6,0,B,3
301,1910,3,0,1,0,10,0,0,0,8,0,B,3
302,1890,5,0,1,110,10,0,0,0,0,0,B,3
305,1942,5,1,6,0,0,0,0,2,0,0,C,2
306,1900,4,1,1,0,0,0,0,50,0,0,B,3
307,1920,2,0,1,0,0,0,0,1,0,0,B,3
308,1900,2,1,1,0,0,0,0,1,0,0,B,3
309,1900,3,1,1,100,0,0,0,1,3,100,B,3
310,1910,5,1,1,100,10,10,15,1,0,0,A,4
312,1910,2,1,3,110,110,0,0,1,0,0,A,4
313,1910,2,0,5,0,0,0,0,1,0,0,B,3
314,1889,1,0,4,0,0,0,0,0,0,0,A,4
315,1847,0,1,6,0,0,0,0,0,0,0,D,1
316,1900,1,1,6,0,0,0,0,0,0,0,D,1
317,1884,2,0,6,0,0,0,0,5,0,0,E,1
318,1900,2,0,3,110,10,0,0,0,0,0,B,3
319,1884,2,0,3,0,10,0,0,0,0,0,B,3
320,1890,3,1,4,0,0,6,15,15,0,0,A,4
321,1900,5,0,1,110,11,20,55,55,0,0,B,3
322,1885,5,1,1,0,0,9,20,20,0,0,B,3
323,1900,2,1,2,111,11,0,0,0,0,0,B,3
324,1900,4,1,5,1,1,10,22,22,0,0,B,3
325,1885,2,1,2,100,0,2,6,6,0,0,A,4
326,1885,2,1,2,0,0,0,0,0,0,0,A,4
327,1887,2,1,2,0,0,0,0,0,0,0,A,4
328,1916,1,1,2,110,111,0,0,0,0,0,A,4
329,1916,2,0,1,110,0,0,0,0,0,0,B,3
331,1900,2,0,2,100,111,2,6,6,0,0,A,4
332,1900,7,0,1,110,10,16,41,41,0,0,B,3
333,1885,2,1,3,110,11,4,12,12,0,0,B,3
336,1916,2,1,3,110,11,6,20,20,0,0,B,3
338,1900,1,1,3,100,11,2,5,5,0,0,B,3
339,1900,2,1,3,111,11,2,3,3,0,0,B,3
340,1916,2,1,3,110,11,0,0,0,0,0,B,3
341,1920,6,0,1,110,0,27,67,67,8,200,E,1
342,1900,1,0,3,0,0,0,0,1,7,150,B,3
343,1900,1,0,4,0,0,2,6,6,0,0,B,3
344,1900,2,0,1,0,0,2,5,5,0,0,B,3
345,1900,4,0,1,0,0,0,0,0,0,0,B,3
346,1900,4,1,4,0,0,0,0,50,0,0,B,3
347,1896,1,1,6,0,0,0,0,0,0,0,D,1
348,1890,5,1,3,0,0,0,0,1,0,0,B,3
349,1841,0,1,6,0,0,0,0,0,0,0,B,3
350,1900,2,0,2,110,10,0,0,0,0,0,B,3
